,RF1,RF2,RF3,RF4,RF5,RF6,RF7,RF8,RF9,RF10,RF11,RF12,RF13,RF14,RF15,Hosp_rate,Hosp_rate.lci,Hosp_rate.uci,Hosp_Prob1,Hosp_Prob.lci,Hosp_Prob.uci,Hosp_Prob
90,0,0,0,0,0,0,0,0,1,0,1,1,0,0,1,0.008,0.004,0.015,0.007968085,0.003992011,0.01488806,0.8
91,0,0,0,0,0,0,0,0,1,0,1,1,0,1,0,0.02,0.01,0.04,0.019801327,0.009950166,0.039210561,1.98
92,0,0,0,0,0,0,0,0,1,0,1,1,0,1,1,0.027,0.013,0.053,0.026638758,0.012915865,0.051619988,2.66
93,0,0,0,0,0,0,0,0,1,0,1,1,1,0,0,0.012,0.006,0.023,0.011928287,0.005982036,0.022737516,1.19
94,0,0,0,0,0,0,0,0,1,0,1,1,1,0,1,0.017,0.008,0.029,0.016856315,0.007968085,0.028583536,1.69
95,0,0,0,0,0,0,0,0,1,0,1,1,1,1,0,0.04,0.019,0.082,0.039210561,0.018820638,0.078728041,3.92
96,0,0,0,0,0,0,0,0,1,0,1,1,1,1,1,0.055,0.026,0.105,0.053514852,0.02566491,0.099675477,5.35
97,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0.004,0.002,0.007,0.003992011,0.001998001,0.006975557,0.4
98,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0.005,0.003,0.009,0.004987521,0.002995504,0.008959621,0.5
99,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0.012,0.006,0.025,0.011928287,0.005982036,0.024690088,1.19
100,0,0,0,0,0,0,0,0,1,1,0,0,0,1,1,0.016,0.008,0.032,0.01587268,0.007968085,0.031493418,1.59
101,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0.007,0.004,0.014,0.006975557,0.003992011,0.013902456,0.7
102,0,0,0,0,0,0,0,0,1,1,0,0,1,0,1,0.01,0.005,0.019,0.009950166,0.004987521,0.018820638,1
103,0,0,0,0,0,0,0,0,1,1,0,0,1,1,0,0.024,0.011,0.051,0.02371429,0.010939721,0.049721329,2.37
104,0,0,0,0,0,0,0,0,1,1,0,0,1,1,1,0.032,0.016,0.064,0.031493418,0.01587268,0.061995,3.15
105,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0.007,0.003,0.014,0.006975557,0.002995504,0.013902456,0.7
106,0,0,0,0,0,0,0,0,1,1,0,1,0,0,1,0.009,0.005,0.018,0.008959621,0.004987521,0.017838968,0.9
107,0,0,0,0,0,0,0,0,1,1,0,1,0,1,0,0.022,0.01,0.049,0.021759765,0.009950166,0.04781887,2.18
108,0,0,0,0,0,0,0,0,1,1,0,1,0,1,1,0.03,0.015,0.063,0.029554466,0.01488806,0.061056526,2.96
109,0,0,0,0,0,0,0,0,1,1,0,1,1,0,0,0.014,0.006,0.027,0.013902456,0.005982036,0.026638758,1.39
110,0,0,0,0,0,0,0,0,1,1,0,1,1,0,1,0.018,0.009,0.035,0.017838968,0.008959621,0.034394584,1.78
111,0,0,0,0,0,0,0,0,1,1,0,1,1,1,0,0.044,0.02,0.098,0.043046043,0.019801327,0.093351096,4.3
