RF1,RF2,RF3,RF4,RF5,RF6,RF7,RF8,RF9,RF10,est,lci,uci
0,0,0,1,1,1,0,1,1,0,22.84,13.934,36.06
0,0,0,1,1,1,0,1,1,1,25.555,15.371,40.092
0,0,0,1,1,1,1,0,0,0,15.948,5.801,41.961
0,0,0,1,1,1,1,0,0,1,17.889,6.793,46.825
0,0,0,1,1,1,1,0,1,0,15.732,5.787,41.587
0,0,0,1,1,1,1,0,1,1,17.699,6.775,45.805
0,0,0,1,1,1,1,1,0,0,47.179,17.465,127.004
0,0,0,1,1,1,1,1,0,1,53.452,19.055,141.991
0,0,0,1,1,1,1,1,1,0,46.88,17.191,125.975
0,0,0,1,1,1,1,1,1,1,52.764,18.673,140.03
0,0,1,0,0,0,0,0,0,0,1.195,1.009,1.396
0,0,1,0,0,0,0,0,0,1,1.339,1.125,1.574
0,0,1,0,0,0,0,0,1,0,1.234,1.194,1.276
0,0,1,0,0,0,0,0,1,1,1.384,1.289,1.473
0,0,1,0,0,0,0,1,0,0,3.557,2.446,5.227
0,0,1,0,0,0,0,1,0,1,3.949,2.766,5.826
0,0,1,0,0,0,0,1,1,0,3.67,2.64,5.182
0,0,1,0,0,0,0,1,1,1,4.111,2.973,5.898
0,0,1,0,0,0,1,0,0,0,2.479,1.003,6.276
0,0,1,0,0,0,1,0,0,1,2.789,1.11,6.968
0,0,1,0,0,0,1,0,1,0,2.562,1.078,6.237
0,0,1,0,0,0,1,0,1,1,2.86,1.194,6.927
0,0,1,0,0,0,1,1,0,0,7.504,2.699,19.293
0,0,1,0,0,0,1,1,0,1,8.388,3.059,21.638
0,0,1,0,0,0,1,1,1,0,7.747,2.945,19.432
0,0,1,0,0,0,1,1,1,1,8.694,3.258,21.727
0,0,1,0,0,1,0,0,0,0,1.771,1.476,2.094
0,0,1,0,0,1,0,0,0,1,1.98,1.65,2.343
0,0,1,0,0,1,0,0,1,0,1.831,1.699,1.955
0,0,1,0,0,1,0,0,1,1,2.052,1.871,2.231
0,0,1,0,0,1,0,1,0,0,5.265,3.62,7.823
0,0,1,0,0,1,0,1,0,1,5.905,4.056,8.788
0,0,1,0,0,1,0,1,1,0,5.425,3.875,7.708
0,0,1,0,0,1,0,1,1,1,6.095,4.341,8.723
0,0,1,0,0,1,1,0,0,0,3.678,1.478,9.469
0,0,1,0,0,1,1,0,0,1,4.123,1.622,10.285
0,0,1,0,0,1,1,0,1,0,3.755,1.577,9.152
0,0,1,0,0,1,1,0,1,1,4.247,1.743,10.295
0,0,1,0,0,1,1,1,0,0,11.126,4.061,28.533
0,0,1,0,0,1,1,1,0,1,12.468,4.594,31.96
