,RF1,RF2,RF3,RF4,RF5,RF6,RF7,RF8,RF9,RF10,RF11,RF12,RF13,RF14,RF15,est,lci,uci
99,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,6.77,4.045,11.411
100,0,0,0,0,0,0,0,0,1,1,0,0,0,1,1,9.169,5.046,17.548
101,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,4.124,2.708,6.069
102,0,0,0,0,0,0,0,0,1,1,0,0,1,0,1,5.498,3.169,9.697
103,0,0,0,0,0,0,0,0,1,1,0,0,1,1,0,13.488,8.012,22.925
104,0,0,0,0,0,0,0,0,1,1,0,0,1,1,1,18.037,9.986,35.499
105,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,3.844,2.316,6.291
106,0,0,0,0,0,0,0,0,1,1,0,1,0,0,1,5.139,2.726,9.634
107,0,0,0,0,0,0,0,0,1,1,0,1,0,1,0,12.579,6.857,23.276
108,0,0,0,0,0,0,0,0,1,1,0,1,0,1,1,16.879,8.511,34.426
109,0,0,0,0,0,0,0,0,1,1,0,1,1,0,0,7.615,4.584,12.581
110,0,0,0,0,0,0,0,0,1,1,0,1,1,0,1,10.236,5.463,19.226
111,0,0,0,0,0,0,0,0,1,1,0,1,1,1,0,25.182,13.879,46.651
112,0,0,0,0,0,0,0,0,1,1,0,1,1,1,1,33.523,17.062,69.166
113,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,2.891,1.869,4.367
114,0,0,0,0,0,0,0,0,1,1,1,0,0,0,1,3.887,2.25,6.819
115,0,0,0,0,0,0,0,0,1,1,1,0,0,1,0,9.468,5.614,16.043
116,0,0,0,0,0,0,0,0,1,1,1,0,0,1,1,12.791,6.901,24.501
117,0,0,0,0,0,0,0,0,1,1,1,0,1,0,0,5.761,3.711,8.664
118,0,0,0,0,0,0,0,0,1,1,1,0,1,0,1,7.79,4.41,13.771
119,0,0,0,0,0,0,0,0,1,1,1,0,1,1,0,18.941,11.164,31.729
120,0,0,0,0,0,0,0,0,1,1,1,0,1,1,1,25.451,13.798,49.692
121,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,5.39,3.231,8.612
122,0,0,0,0,0,0,0,0,1,1,1,1,0,0,1,7.248,3.86,13.582
123,0,0,0,0,0,0,0,0,1,1,1,1,0,1,0,17.702,9.636,32.972
124,0,0,0,0,0,0,0,0,1,1,1,1,0,1,1,23.736,11.775,48.532
125,0,0,0,0,0,0,0,0,1,1,1,1,1,0,0,10.689,6.476,17.698
126,0,0,0,0,0,0,0,0,1,1,1,1,1,0,1,14.336,7.688,27.398
127,0,0,0,0,0,0,0,0,1,1,1,1,1,1,0,35.432,19.236,64.696
128,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,47.088,23.419,96.757
129,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1.46,1.391,1.526
130,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1.973,1.318,2.896
131,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,4.788,3.472,6.448
132,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,6.498,3.938,10.76
133,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,2.904,2.676,3.147
134,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,3.954,2.592,5.851
135,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,9.556,6.893,12.997
136,0,0,0,0,0,0,0,1,0,0,0,0,1,1,1,12.884,7.826,21.154
137,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,2.726,1.986,3.646
138,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,3.652,2.19,5.903
139,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,8.926,5.666,13.31
140,0,0,0,0,0,0,0,1,0,0,0,1,0,1,1,12.072,6.571,21.484
141,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,5.431,3.932,7.266
142,0,0,0,0,0,0,0,1,0,0,0,1,1,0,1,7.26,4.37,11.832
143,0,0,0,0,0,0,0,1,0,0,0,1,1,1,0,17.705,11.426,26.923
144,0,0,0,0,0,0,0,1,0,0,0,1,1,1,1,24.017,13.225,42.662
145,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,2.047,1.868,2.263
146,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,2.767,1.831,4.101
147,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,6.781,4.864,9.175
148,0,0,0,0,0,0,0,1,0,0,1,0,0,1,1,9.083,5.568,15.388
149,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,4.08,3.614,4.589
150,0,0,0,0,0,0,0,1,0,0,1,0,1,0,1,5.516,3.592,8.181
151,0,0,0,0,0,0,0,1,0,0,1,0,1,1,0,13.41,9.754,18.465
152,0,0,0,0,0,0,0,1,0,0,1,0,1,1,1,18.092,10.954,30.433
153,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,3.836,2.753,5.187
154,0,0,0,0,0,0,0,1,0,0,1,1,0,0,1,5.137,3.073,8.335
155,0,0,0,0,0,0,0,1,0,0,1,1,0,1,0,12.477,7.987,19.019
156,0,0,0,0,0,0,0,1,0,0,1,1,0,1,1,16.97,9.297,30.583
157,0,0,0,0,0,0,0,1,0,0,1,1,1,0,0,7.652,5.428,10.386
158,0,0,0,0,0,0,0,1,0,0,1,1,1,0,1,10.212,6.134,16.716
159,0,0,0,0,0,0,0,1,0,0,1,1,1,1,0,24.784,15.707,38.012
160,0,0,0,0,0,0,0,1,0,0,1,1,1,1,1,33.832,18.455,60.152
161,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,2.262,1.507,3.322
162,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,3.021,1.74,5.285
163,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,7.427,4.39,12.243
164,0,0,0,0,0,0,0,1,0,1,0,0,0,1,1,9.955,5.405,19.285
165,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,4.508,3.002,6.599
166,0,0,0,0,0,0,0,1,0,1,0,0,1,0,1,6.007,3.391,10.655
167,0,0,0,0,0,0,0,1,0,1,0,0,1,1,0,14.814,8.73,24.488
168,0,0,0,0,0,0,0,1,0,1,0,0,1,1,1,19.833,10.914,37.639
169,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,4.169,2.551,6.767
170,0,0,0,0,0,0,0,1,0,1,0,1,0,0,1,5.612,2.985,10.606
171,0,0,0,0,0,0,0,1,0,1,0,1,0,1,0,13.847,7.718,24.865
172,0,0,0,0,0,0,0,1,0,1,0,1,0,1,1,18.437,9.194,37.029
173,0,0,0,0,0,0,0,1,0,1,0,1,1,0,0,8.348,5.107,13.694
174,0,0,0,0,0,0,0,1,0,1,0,1,1,0,1,11.178,5.939,21.362
175,0,0,0,0,0,0,0,1,0,1,0,1,1,1,0,27.684,15.257,50.097
176,0,0,0,0,0,0,0,1,0,1,0,1,1,1,1,36.783,18.786,74.017
177,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,3.151,2.089,4.745
178,0,0,0,0,0,0,0,1,0,1,1,0,0,0,1,4.242,2.464,7.433
179,0,0,0,0,0,0,0,1,0,1,1,0,0,1,0,10.446,6.187,17.606
180,0,0,0,0,0,0,0,1,0,1,1,0,0,1,1,14.067,7.562,26.706
181,0,0,0,0,0,0,0,1,0,1,1,0,1,0,0,6.283,4.188,9.416
182,0,0,0,0,0,0,0,1,0,1,1,0,1,0,1,8.472,4.847,15.005
183,0,0,0,0,0,0,0,1,0,1,1,0,1,1,0,20.732,12.205,34.817
184,0,0,0,0,0,0,0,1,0,1,1,0,1,1,1,27.788,15.128,52.756
185,0,0,0,0,0,0,0,1,0,1,1,1,0,0,0,5.871,3.53,9.433
186,0,0,0,0,0,0,0,1,0,1,1,1,0,0,1,7.868,4.109,14.867
187,0,0,0,0,0,0,0,1,0,1,1,1,0,1,0,19.528,10.52,35.401
188,0,0,0,0,0,0,0,1,0,1,1,1,0,1,1,26.016,12.977,52.425
189,0,0,0,0,0,0,0,1,0,1,1,1,1,0,0,11.671,7.002,19.014
190,0,0,0,0,0,0,0,1,0,1,1,1,1,0,1,15.701,8.31,30.352
191,0,0,0,0,0,0,0,1,0,1,1,1,1,1,0,38.859,20.851,70.17
192,0,0,0,0,0,0,0,1,0,1,1,1,1,1,1,51.437,25.744,103.843
193,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1.551,1.412,1.717
194,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,2.099,1.367,3.088
195,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,5.127,3.647,7.117
196,0,0,0,0,0,0,0,1,1,0,0,0,0,1,1,6.886,4.108,11.495
197,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,3.091,2.744,3.498
198,0,0,0,0,0,0,0,1,1,0,0,0,1,0,1,4.183,2.733,6.231
199,0,0,0,0,0,0,0,1,1,0,0,0,1,1,0,10.151,7.198,14.135
200,0,0,0,0,0,0,0,1,1,0,0,0,1,1,1,13.719,8.147,22.9
201,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,2.907,2.069,3.937
202,0,0,0,0,0,0,0,1,1,0,0,1,0,0,1,3.909,2.339,6.376
203,0,0,0,0,0,0,0,1,1,0,0,1,0,1,0,9.432,6,14.488
