"RF1","RF2","RF3","RF4","RF5","RF6","RF7","RF8","RF9","RF10","est","lci","uci"
0,0,0,1,0,0,0,1,1,0,0.0216882746000633,0.0126676333992745,0.0365576895532392
0,0,0,1,0,0,0,1,1,1,0.0241896842451375,0.014198023488954,0.0412206871211443
0,0,0,1,0,0,1,0,0,0,0.0153413260043229,0.00574451389494486,0.0410384314448666
0,0,0,1,0,0,1,0,0,1,0.017220713318728,0.00644735763479347,0.0456658448704601
0,0,0,1,0,0,1,0,1,0,0.0151551715977635,0.00567409223984199,0.0401715197400619
0,0,0,1,0,0,1,0,1,1,0.0169807278899489,0.00645519999989802,0.0446452995893859
0,0,0,1,0,0,1,1,0,0,0.0450365437826461,0.0158641146410616,0.120531648311096
0,0,0,1,0,0,1,1,0,1,0.050222029212342,0.017898305768108,0.138154004383626
0,0,0,1,0,0,1,1,1,0,0.0444781002796331,0.0155841566250984,0.120967543694936
0,0,0,1,0,0,1,1,1,1,0.0501364175986395,0.017579721401242,0.136751324949522
0,0,0,1,0,1,0,0,0,0,0.0110431231070155,0.00725537453840936,0.0169707969006133
0,0,0,1,0,1,0,0,0,1,0.0122681990369269,0.00802442695610623,0.0190690967883895
0,0,0,1,0,1,0,0,1,0,0.0108738880091536,0.00715827601087634,0.0169240784114916
0,0,0,1,0,1,0,0,1,1,0.0121209481401784,0.00793152859092561,0.0190676771172233
0,0,0,1,0,1,0,1,0,0,0.0326190092119923,0.0189517971031355,0.0551659223163635
0,0,0,1,0,1,0,1,0,1,0.0362991505197159,0.0209405469309641,0.0621522845796201
0,0,0,1,0,1,0,1,1,0,0.032248957769471,0.0187240346462039,0.0544636124349288
0,0,0,1,0,1,0,1,1,1,0.0358440356869754,0.0207769762724184,0.0609610170590548
0,0,0,1,0,1,1,0,0,0,0.0227903749335523,0.0083935074417207,0.0613589763726332
0,0,0,1,0,1,1,0,0,1,0.025600573821417,0.00970328780874192,0.0678217409106297
0,0,0,1,0,1,1,0,1,0,0.0224426684781322,0.00836511390036558,0.0597435608365291
0,0,0,1,0,1,1,0,1,1,0.025181149832624,0.00963079248335518,0.0666478880599379
0,0,0,1,0,1,1,1,0,0,0.0665721618765698,0.023341569352782,0.17790289286138
0,0,0,1,0,1,1,1,0,1,0.0741961261049911,0.0264130705974081,0.198132514000143
0,0,0,1,0,1,1,1,1,0,0.0657856188397287,0.0230422236275076,0.175739427999035
0,0,0,1,0,1,1,1,1,1,0.0731397655800952,0.025799492067284,0.197342436116254
0,0,0,1,1,0,0,0,0,0,0.0185297512865,0.0119673416862372,0.0286770355074336
0,0,0,1,1,0,0,0,0,1,0.0207019783266117,0.0133373049876705,0.0317526668204919
